Time;CH 1 Object Temperature;CH 1 Sink Temperature;CH 1 Target Object Temperature;CH 1 (Ramp) Nominal Temperature;CH 1 Thermal Power Model Current;CH 1 Actual Output Current;CH 1 Actual Output Voltage;_label_PAR_PID_LIM_N1;_label_PAR_PID_LIM_P1;CH 1 PID Control Variable;_label_MoniTempObj1_ADC;_label_PAR_TOBJ_U1;_label_PAR_TOBJ_R1;_label_PAR_NTC_SINK_CH1_ADC;_label_PAR_TSINK_R1;_label_PAR_SINK_MEAS_T1;_label_PAR_OBJECT_MEAS_T1;CH 2 Object Temperature;CH 2 Sink Temperature;CH 2 Target Object Temperature;CH 2 (Ramp) Nominal Temperature;CH 2 Thermal Power Model Current;CH 2 Actual Output Current;CH 2 Actual Output Voltage;_label_PAR_PID_LIM_N2;_label_PAR_PID_LIM_P2;CH 2 PID Control Variable;_label_MoniTempObj2_ADC;_label_PAR_TOBJ_U2;_label_PAR_TOBJ_R2;_label_PAR_NTC_SINK_CH2_ADC;_label_PAR_TSINK_R2;_label_PAR_SINK_MEAS_T2;_label_PAR_OBJECT_MEAS_T2;_label_Mon_PAR_DEVICE_TYPE;_label_uc_Version;_label_PAR_MIN_FW_VERSION_Moni;_label_uc_BuildNumber;_labelM_PAR_VER_HW_VERSION;_labelM_PAR_VER_HW_SERNR;Driver Input Voltage;_label_M10V;_label_M33V;Device Temperature;_label_PAR_OUT_CURRENT_SUM;_label_PAR_DEV_TEMPM_ILIMIT;_label_PAR_DEV_TEMPM_TLIMIT;Error Number;Error Instance;Error Parameter;_label_PAR_DEBUG_U1A;_label_PAR_DEBUG_I1A;_label_PAR_DEBUG_U1B;_label_PAR_DEBUG_I1B;_label_PAR_DEBUG_REL_PWM_LEV1;_label_PAR_SYM_CORR1;_label_PAR_DEBUG_ABS_PWM_LA1;_label_PAR_DEBUG_ABS_PWM_LB1;_label_PAR_DEBUG_U2A;_label_PAR_DEBUG_I2A;_label_PAR_DEBUG_U2B;_label_PAR_DEBUG_I2B;_label_PAR_DEBUG_REL_PWM_LEV2;_label_PAR_SYM_CORR2;_label_PAR_DEBUG_ABS_PWM_LA2;_label_PAR_DEBUG_ABS_PWM_LB2;_label_PAR_SYSTICK_MAX_CYCLE;_label_PAR_SYSTICK_AVG_CYCLE;_label_PAR_FAN_REL_COOL_POWER1;_label_PAR_FAN_REL_COOL_POWER2;CH1 Fan Speed;CH2 Fan Speed;_label_TimeBase_TempCtrl1;_label_TimeBase_TempCtrl2;_label_PAR_NTC_SINK_CH3_ADC;_label_PAR_NTC_SINK_CH4_ADC;_label_PAR_TOBJ_MIN_U1;_label_PAR_TOBJ_MAX_U1;_label_PAR_TOBJ_MIN_R1;_label_PAR_TOBJ_MAX_R1;_label_PAR_TOBJ_MIN_T1;_label_PAR_TOBJ_MAX_T1;_label_PAR_TOBJ_MIN_U2;_label_PAR_TOBJ_MAX_U2;_label_PAR_TOBJ_MIN_R2;_label_PAR_TOBJ_MAX_R2;_label_PAR_TOBJ_MIN_T2;_label_PAR_TOBJ_MAX_T2;_label_PAR_TSINK_MIN_R1;_label_PAR_TSINK_MIN_R2;_label_PAR_TSINK_MAX_R1;_label_PAR_TSINK_MAX_R2;_label_PAR_TSINK_MIN_T1;_label_PAR_TSINK_MIN_T2;_label_PAR_TSINK_MAX_T1;_label_PAR_TSINK_MAX_T2;_label_PAR_ADS_SELFT_TRIGGER1;_label_PAR_ADS_SELFT_AVDD1;_label_PAR_ADS_SELFT_IRS1;_label_PAR_ADS_SELFT_VREF1;_label_PAR_ADS_SELFT_TRIGGER2;_label_PAR_ADS_SELFT_AVDD2;_label_PAR_ADS_SELFT_IRS2;_label_PAR_ADS_SELFT_VREF2;_label_PAR_PBC_RES_InputState;_label_PAR_SINK_FILTER_RESET
2022-07-20 11:17:26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022-07-20 11:17:27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022-07-20 11:17:28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022-07-20 11:17:29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022-07-20 11:17:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022-07-20 11:17:31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022-07-20 11:17:32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022-07-20 11:17:33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022-07-20 11:17:34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022-07-20 11:17:35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022-07-20 11:17:36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022-07-20 11:17:37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022-07-20 11:17:38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022-07-20 11:17:39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022-07-20 11:17:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
